"Year","Month","Day","Hr1","Hr2","Hr3","Hr4","Hr5","Hr6","Hr7","Hr8","Hr9","Hr10","Hr11","Hr12","Hr13","Hr14","Hr15","Hr16","Hr17","Hr18","Hr19","Hr20","Hr21","Hr22","Hr23","Hr24","Hr25"
"2025","9","5","15846","15152","14717","14420","14484","15089","16288","17059","17318","17295","17347","17598","18105","18637","19163","19886","20756","21342","21332","21244","20843","20034","19050","18022",""
"2025","9","6","17123","16373","15773","15374","15171","15247","15606","16094","16910","17719","18377","18870","19219","19626","19601","19305","19430","19427","19432","19313","18735","17964","17156","16283",""
"2025","9","7","15496","14792","14245","13866","13658","13700","13907","14078","14221","14203","14263","14442","14611","14633","14645","14735","15303","16118","16990","17425","17332","16635","15740","14773",""
"2025","9","8","14065","13499","13103","12922","13049","13722","14911","15510","15126","14644","14745","14766","14646","14750","14937","15279","16004","17086","17862","18043","17714","16833","15767","14762",""
"2025","9","9","14006","13462","13108","12936","13059","13719","15021","15606","15304","14784","14453","14407","14542","14841","15160","15577","16340","17304","17955","18288","17930","17037","15961","14909",""
"2025","9","10","14193","13656","13308","13158","13241","13923","15231","15930","15708","15302","15199","15095","15133","15335","15619","15971","16521","17416","18101","18414","18056","17227","16181","15166",""
"2025","9","11","14368","13782","13377","13160","13240","13875","15128","15802","15530","15107","15036","15161","15492","16006","16483","17211","18068","18959","19319","19309","18863","17915","16724","15673",""
"2025","9","12","14847","14215","13761","13512","13534","14110","15303","15960","15904","15567","15316","15274","15544","16096","16590","17229","17985","18784","19070","18977","18471","17633","16716","15747",""
"2025","9","13","14957","14340","13897","13604","13506","13625","14031","14340","14529","14596","14776","15223","15576","15946","16454","17069","17581","17931","17977","18053","17779","17220","16539","15753",""
"2025","9","14","15073","14457","13972","13626","13492","13517","13693","13883","13939","13895","14160","14734","15537","16110","16701","17469","18311","19120","19592","19666","19298","18354","17268","16187",""
"2025","9","15","15310","14672","14251","14018","14109","14789","16092","16826","16771","16483","16406","16604","17095","17676","17952","18427","19168","20045","20351","20132","19440","18370","17179","16003",""
"2025","9","16","15155","14481","14149","13909","13971","14607","15904","16597","16404","15942","15777","15836","16263","16703","16924","17279","17899","18681","18983","18985","18555","17585","16479","15373",""
"2025","9","17","14450","13943","13477","13389","13472","14074","15403","16156","16143","15775","15809","15941","16070","16395","16772","17079","17700","18415","18789","18928","18421","17537","16501","15449",""
"2025","9","18","14656","14075","13704","13512","13632","14268","15594","16386","16253","15874","15757","15997","16509","17190","17862","18802","19863","20764","20798","20739","20104","19118","17913","16688",""
"2025","9","19","15707","14936","14441","14135","14131","14691","15915","16676","16879","16857","16898","16962","17174","17564","17996","18658","19456","20284","20411","19942","19237","18258","17131","15979",""
"2025","9","20","15056","14326","13792","13427","13267","13324","13676","13888","13593","13075","12845","12858","13005","13204","13534","14076","14970","16165","16850","16965","16593","15941","15220","14497",""
"2025","9","21","13857","13349","12955","12697","12591","12687","12971","13098","12897","12649","12615","12713","13029","13207","13515","14029","15063","16323","17085","17381","16933","16142","15226","14357",""
"2025","9","22","13664","13192","12882","12736","12847","13550","14859","15679","15822","15755","15594","15798","15917","16187","16408","16963","17782","18565","18769","18844","18245","17385","16415","15469",""
"2025","9","23","14699","14126","13760","13590","13700","14369","15609","16511","17119","17407","17515","17602","17862","18369","18934","19562","20118","20505","20579","20590","19965","19078","18032","16923",""
"2025","9","24","16060","15408","14929","14681","14750","15313","16535","17390","17945","18271","18538","18814","19058","19307","19489","19698","20067","20422","20515","20564","20014","19217","18137","17056",""
"2025","9","25","16188","15551","15122","14932","15070","15811","17229","18328","18959","19411","19684","19927","19943","20055","19956","20065","20322","20638","20695","20773","20317","19502","18322","17127",""
"2025","9","26","16146","15361","14844","14523","14570","15139","16433","17337","17715","17566","17606","17807","18136","18524","18950","19286","19911","20565","20584","20220","19536","18647","17644","16603",""
"2025","9","27","15675","14956","14397","14034","13878","13974","14379","14725","14916","14819","14929","15225","15756","16220","16558","17260","17939","18378","18602","18667","18240","17620","16856","16039",""
"2025","9","28","15309","14707","14238","13925","13773","13795","14089","14304","14265","14116","14423","14858","15581","16348","17084","17884","18851","19934","20195","20148","19474","18551","17479","16387",""
"2025","9","29","15546","14865","14353","14044","14091","14705","15966","16718","16532","16086","16035","16284","16654","17182","17494","17985","18615","19272","19522","19468","18735","17829","16743","15664",""
"2025","9","30","14844","14237","13793","13574","13645","14318","15604","16448","16247","15691","15477","15470","15661","16020","16523","17219","18051","19051","19369","19288","18601","17624","16458","15296",""
"2025","10","1","14453","13784","13284","12991","13015","13625","14889","15599","15039","14147","13725","13589","13601","13755","13992","14536","15551","16814","17398","17450","16827","16050","15052","14131",""
"2025","10","2","13459","12980","12669","12539","12592","13295","14486","15213","14854","14038","13495","13293","13287","13471","13753","14329","15202","16438","17078","17267","16754","15972","15001","14083",""
"2025","10","3","13384","12911","12600","12456","12588","13229","14493","15320","14940","14134","13690","13573","13649","13883","14158","14757","15732","16917","17351","17302","16726","16051","15212","14319",""
"2025","10","4","13624","13090","12706","12516","12457","12620","13105","13506","13446","12952","12786","12913","13269","13686","14199","15147","16206","17319","17724","17694","17173","16529","15765","14926",""
"2025","10","5","14281","13700","13243","12944","12780","12831","13163","13422","13391","13137","13278","13779","14419","15101","15825","16684","17808","18965","19321","19226","18543","17643","16634","15568",""
"2025","10","6","14790","14142","13674","13456","13528","14203","15491","16318","16157","15719","15705","15984","16495","17094","17604","18358","19338","20262","20278","19998","19169","18188","17038","15936",""
